대륙명_행정표준코드,영문명,한글명
아시아,Nepal,네팔
아시아,Timor-Leste,동티모르
아시아,Laos,라오스
아시아,Lebanon,레바논
아시아,Malaysia,말레이시아
아시아,Maldives,몰디브
아시아,Mongolia,몽골
아시아,Myanmar,미얀마
아시아,Bahrain,바레인
아시아,Bangladesh,방글라데시
아시아,Vietnam,베트남
아시아,Bhutan,부탄
아시아,Brunei,브루나이
아시아,Saudi Arabia,사우디아라비아
아시아,Sri Lanka,스리랑카
아시아,Syria,시리아
아시아,Singapore,싱가포르
아시아,United Arab Emirates : UAE,아랍에미리트
아시아,Azerbaijan,아제르바이잔
아시아,Afghanistan,아프가니스탄
아시아,Yemen,예멘
아시아,Oman,오만
아시아,Jordan,요르단
아시아,Uzbekistan,우즈베키스탄
아시아,Iraq,이라크
아시아,Iran,이란
아시아,Israel,이스라엘
아시아,India,인도
아시아,Indonesia,인도네시아
아시아,Japan,일본
아시아,Georgia,조지아
아시아,China,중국
아시아,Kazakhstan,카자흐스탄
아시아,Qatar,카타르
아시아,Cambodia,캄보디아
아시아,Kuwait,쿠웨이트
아시아,Kyrgyz,키르기즈
아시아,Tajikistan,타지키스탄
아시아,Thailand,태국
아시아,Turkmenistan,투르크메니스탄
아시아,Pakistan,파키스탄
아시아,Palestine,팔레스타인
아시아,Philippines,필리핀
